id,County,Population Density
37001,Alamance County,356.5
37003,Alexander County,143.1
37005,Alleghany County,47.5
37007,Anson County,50.7
37009,Ashe County,64
37011,Avery County,72
37013,Beaufort County,57.7
37015,Bertie County,30.4
37017,Bladen County,40.2
37019,Brunswick County,126.8
37021,Buncombe County,362.9
37023,Burke County,179.3
37025,Cabarrus County,492.1
37027,Caldwell County,176.1
37029,Camden County,41.5
37031,Carteret County,131.3
37033,Caswell County,55.8
37035,Catawba County,387.1
37037,Chatham County,93.1
37039,Cherokee County,60.3
37041,Chowan County,85.8
37043,Clay County,49.3
37045,Cleveland County,211.3
37047,Columbus County,62
37049,Craven County,146
37051,Cumberland County,489.7
37053,Currituck County,89.9
37055,Dare County,88.5
37057,Davidson County,294.7
37059,Davie County,156.1
37061,Duplin County,71.7
37063,Durham County,935.7
37065,Edgecombe County,111.9
37067,Forsyth County,859.2
37069,Franklin County,123.3
37071,Gaston County,578.8
37073,Gates County,35.8
37075,Graham County,30.3
37077,Granville County,112.7
37079,Greene County,80.3
37081,Guilford County,756.4
37083,Halifax County,75.5
37085,Harnett County,192.7
37087,Haywood County,106.6
37089,Henderson County,286.1
37091,Hertford County,69.9
37093,Hoke County,120.2
37095,Hyde County,9.5
37097,Iredell County,277.8
37099,Jackson County,82.1
37101,Johnston County,213.4
37103,Jones County,21.6
37105,Lee County,227
37107,Lenoir County,148.5
37109,Lincoln County,262.7
37111,McDowell County,102.1
37113,Macon County,65.8
37115,Madison County,46.2
37117,Martin County,53.1
37119,Mecklenburg County,1755.5
37121,Mitchell County,70.4
37123,Montgomery County,56.5
37125,Moore County,126.5
37127,Nash County,177.3
37129,New Hanover County,1058.1
37131,Northampton County,41.2
37133,Onslow County,233.1
37135,Orange County,336.2
37137,Pamlico County,39.1
37139,Pasquotank County,179.2
37141,Pender County,60
37143,Perquimans County,54.4
37145,Person County,100.6
37147,Pitt County,257.9
37149,Polk County,86.3
37151,Randolph County,181.1
37153,Richmond County,98.4
37155,Robeson County,141.3
37157,Rockingham County,165.6
37159,Rowan County,270.7
37161,Rutherford County,120.2
37163,Sampson County,67.1
37165,Scotland County,113.4
37167,Stanly County,153.3
37169,Stokes County,105.6
37171,Surry County,138.4
37173,Swain County,26.5
37175,Transylvania County,87.4
37177,Tyrrell County,11.3
37179,Union County,318.7
37181,Vance County,179.2
37183,Wake County,1078.8
37185,Warren County,48.9
37187,Washington County,38
37189,Watauga County,163.4
37191,Wayne County,221.7
37193,Wilkes County,91.9
37195,Wilson County,220.6
37197,Yadkin County,114.7
37199,Yancey County,57